"Division","Buyer","Dept","Vendor","Markstyle","first_Wk","regular_num_ordered","Full_Price","Unit_Cost","Q1","R1","regular_sellThru","regular_cost","full_cycle_num_sold","full_cycle_sales","full_ST","full_Rtns","P4P","p1","p2","R2","Q2","ST2"
8,140,140,431,48941,7,66,136,58.9,21,2606.01,0.3182,1236.9,63,5851,0.9545,11,0,124.095714285714,77.2616666666667,3244.99,42,0.933333333333333
8,140,140,431,50722,12,14,168,70.3,1,168,0.0714,70.3,12,1257,0.8571,9,0,168,99,1089,11,0.846153846153846
8,140,140,431,50723,13,27,170,70.3,7,1140,0.2593,492.1,22,1883,0.8148,12,0,162.857142857143,49.5333333333333,743,15,0.75
8,140,140,615,4030,10,28,398,198,6,2344,0.2143,1188,20,5343,0.7143,5,0,390.666666666667,214.214285714286,2999,14,0.636363636363636
8,140,140,643,84004,10,90,228,113,26,5654.99,0.2889,2938,80,11744.99,0.8889,28,0,217.499615384615,112.777777777778,6090,54,0.84375
8,140,140,656,14900,1,188,138,65.96,62,8146.04,0.3298,4089.52,181,17354.04,0.9628,61,0,131.387741935484,77.3781512605042,9208,119,0.944444444444444
8,140,140,656,14903,1,192,138,65.96,41,5485.96,0.2135,2704.36,188,16145.98,0.9792,54,0,133.803902439024,72.5171428571429,10660.02,147,0.973509933774834
8,140,140,656,14961,1,138,138,65.96,20,2698.01,0.1449,1319.2,120,8601.04,0.8696,34,0,134.9005,59.0303,5903.03,100,0.847457627118644
8,140,140,656,14967,1,156,108,51.41,64,6484,0.4103,3290.24,148,11810.98,0.9487,33,0,101.3125,63.4164285714286,5326.98,84,0.91304347826087
8,140,140,656,14968,2,156,108,51.41,34,3543.02,0.2179,1747.94,127,7487.99,0.8141,20,0,104.206470588235,42.4190322580645,3944.97,93,0.762295081967213
8,140,140,656,24312,5,142,168,80.51,46,6941.98,0.3239,3703.46,133,15208.98,0.9366,43,0,150.912608695652,95.0229885057471,8267,87,0.90625
8,140,140,656,24651,7,20,158,75.66,5,715,0.25,378.3,20,1859,1,7,0,143,76.2666666666667,1144,15,1
8,140,140,656,24979,5,130,238,114.46,62,13315.99,0.4769,7096.52,124,20104.03,0.9538,38,0,214.774032258065,109.484516129032,6788.04,62,0.911764705882353
8,140,140,704,4120,8,126,228,112,45,9385,0.3571,5040,107,19365.99,0.8492,57,0,208.555555555556,160.983709677419,9980.99,62,0.765432098765432
8,140,140,704,43820,8,37,198,98,21,3523.01,0.5676,2058,34,4263.01,0.9189,6,0,167.762380952381,56.9230769230769,740,13,0.8125
8,140,140,704,52514,2,49,68,32,11,727,0.2245,352,39,1944.01,0.7959,15,0,66.0909090909091,43.4646428571429,1217.01,28,0.736842105263158
8,140,140,704,53515,8,49,68,32,17,1043.99,0.3469,544,44,1749.99,0.898,11,0,61.4111764705882,26.1481481481481,706,27,0.84375
8,140,140,704,53524,6,35,58,28,13,628,0.3714,364,31,1348,0.8857,16,0,48.3076923076923,40,720,18,0.818181818181818
8,140,140,704,54205,9,66,61,28,20,1066,0.303,560,52,2012.99,0.7879,20,0,53.3,29.5934375,946.99,32,0.695652173913043
8,140,140,704,54207,8,60,58,28,21,1110.01,0.35,588,53,2294.03,0.8833,22,0,52.857619047619,37.000625,1184.02,32,0.82051282051282
8,140,140,704,54208,9,12,58,28,2,104,0.1667,56,12,399,1,6,0,52,29.5,295,10,1
8,140,140,704,54209,9,42,58,28,9,457,0.2143,252,39,1441.99,0.9286,12,0,50.7777777777778,32.833,984.99,30,0.909090909090909
8,140,140,902,7775,1,16,145,71.5,6,805,0.375,429,15,1470,0.9375,2,0,134.166666666667,73.8888888888889,665,9,0.9
8,102,448,200,2936,1,210,128,39.86,26,3184.99,0.1238,1036.36,195,13380.97,0.9286,43,0,122.499615384615,60.3312426035503,10195.98,169,0.918478260869565
8,102,448,200,2937,2,158,128,39.86,39,4716.02,0.2468,1554.54,149,12420.95,0.943,33,0,120.92358974359,70.0448181818182,7704.93,110,0.92436974789916
8,102,448,200,2938,2,210,88,25.98,34,2849.01,0.1619,883.32,195,9785.04,0.9286,48,0,83.7944117647059,43.0809316770186,6936.03,161,0.914772727272727
8,102,448,200,2939,2,158,88,25.98,37,3116,0.2342,961.26,148,8350.99,0.9367,34,0,84.2162162162162,47.1620720720721,5234.99,111,0.917355371900826
8,102,448,267,12419,2,266,138,40,36,4586.97,0.1353,1440,229,14196.09,0.8609,53,0,127.415833333333,49.7881865284974,9609.12,193,0.839130434782609
8,102,448,267,12420,2,267,138,39,47,6258,0.176,1833,254,17340.99,0.9513,58,0,133.148936170213,53.5410144927536,11082.99,207,0.940909090909091
8,102,448,705,41520,6,272,168,60,110,15326,0.4044,6600,206,22997.97,0.7574,79,0,139.327272727273,79.9163541666667,7671.97,96,0.592592592592593
8,892,710,200,2923,4,312,88,25.98,114,8755.01,0.3654,2961.72,296,17087.99,0.9487,67,0,76.7983333333333,45.7856043956044,8332.98,182,0.919191919191919
8,892,710,200,2926,4,254,88,25.98,51,4056.01,0.2008,1324.98,223,10169,0.878,71,0,79.5296078431373,35.5406395348837,6112.99,172,0.847290640394089
8,892,710,705,41540,6,265,168,65,92,13273.05,0.3472,5980,237,25587.12,0.8943,77,0,144.272282608696,84.9246206896552,12314.07,145,0.838150289017341
8,892,710,839,44755,9,212,59,20,32,1716.03,0.1509,640,190,5590.06,0.8962,43,0,53.6259375,24.5191772151899,3874.03,158,0.877777777777778
